detection_occurrence_id	detection_site_id	burst_id	class_id	nearest_centroid_distance	second_centroid_id	second_centroid_distance	absolute_distance_margin	relative_distance_margin	distance_to_class_1	distance_to_class_2	distance_to_class_3	ambiguous_lowest_margin_quartile	ambiguity_threshold
b02__det_011	dsite_011	2	1	1.858473025508507	3	1.9120505591806163	0.05357753367210938	0.02802098167062555	1.858473025508507	5.325091601932061	1.9120505591806163	True	0.30066255221051263
b03__det_009	dsite_017	3	3	1.822558171902187	1	1.8769686020823875	0.05441043018020042	0.028988460499464516	1.8769686020823875	5.134742865727326	1.822558171902187	True	0.30066255221051263
b03__det_004	dsite_027	3	1	1.9796162142201104	3	2.1403466266112514	0.16073041239114105	0.07509550574320797	1.9796162142201104	5.790848050856321	2.1403466266112514	True	0.30066255221051263
b04__det_006	dsite_022	4	1	1.6774935307147452	3	1.8205883391216644	0.14309480840691924	0.07859811322089141	1.6774935307147452	4.91133639253822	1.8205883391216644	True	0.30066255221051263
b01__det_010	dsite_012	1	3	1.5320041396338733	1	1.6775175674842193	0.14551342785034604	0.08674331087248952	1.6775175674842193	4.997815259644415	1.5320041396338733	True	0.30066255221051263
b01__det_014	dsite_032	1	1	4.804032078358693	3	5.497322931867508	0.6932908535088149	0.12611426727177832	4.804032078358693	6.962508089390274	5.497322931867508	True	0.30066255221051263
b02__det_017	dsite_036	2	3	2.6620420224724355	1	3.0928826029517413	0.43084058047930585	0.13930065760275748	3.0928826029517413	4.805559267716633	2.6620420224724355	True	0.30066255221051263
b01__det_022	dsite_003	1	3	2.925326843445191	1	3.5134344057358904	0.5881075622906993	0.16738822883119114	3.5134344057358904	3.907135633360336	2.925326843445191	True	0.30066255221051263
b04__det_011	dsite_036	4	1	1.8150505768335399	3	2.18636384384969	0.3713132670161503	0.16983141578226613	1.8150505768335399	4.793024945637005	2.18636384384969	True	0.30066255221051263
b01__det_021	dsite_034	1	3	3.8656576320446265	2	4.724512557306203	0.8588549252615763	0.1817869917465673	4.814753379582731	4.724512557306203	3.8656576320446265	True	0.30066255221051263
b04__det_007	dsite_024	4	1	1.6949037530869884	3	2.1015122498093493	0.4066084967223609	0.19348376235220552	1.6949037530869884	5.788996617926613	2.1015122498093493	True	0.30066255221051263
b04__det_008	dsite_015	4	1	1.5718397003608793	3	1.9518779742065877	0.38003827384570843	0.19470391021763997	1.5718397003608793	5.791147860436808	1.9518779742065877	True	0.30066255221051263
b01__det_020	dsite_019	1	2	2.749332075912066	3	3.6073081098735686	0.8579760339615028	0.23784384583427606	4.878986804020343	2.749332075912066	3.6073081098735686	True	0.30066255221051263
b03__det_008	dsite_022	3	1	1.5518004249188893	3	2.0503682009676965	0.4985677760488072	0.24316011915006389	1.5518004249188893	5.167520134654339	2.0503682009676965	True	0.30066255221051263
b04__det_003	dsite_027	4	1	1.697356427325865	3	2.290123975312698	0.5927675479868331	0.25883644482866713	1.697356427325865	6.015524162781909	2.290123975312698	True	0.30066255221051263
b04__det_009	dsite_017	4	1	1.685022311373768	3	2.276047518793551	0.591025207419783	0.2596717346802424	1.685022311373768	5.832531908636504	2.276047518793551	True	0.30066255221051263
b02__det_007	dsite_015	2	1	1.4483444026891563	3	1.9908273370579292	0.5424829343687729	0.27249120216043515	1.4483444026891563	5.473538989091151	1.9908273370579292	True	0.30066255221051263
b04__det_021	dsite_033	4	2	4.091359451455497	3	5.655794208968304	1.5644347575128075	0.27660744003593835	6.882642497755423	4.091359451455497	5.655794208968304	True	0.30066255221051263
b01__det_017	dsite_031	1	3	3.099350488181688	2	4.320283857811949	1.2209333696302616	0.28260489583863024	5.480749707674582	4.320283857811949	3.099350488181688	True	0.30066255221051263
b03__det_019	dsite_036	3	3	1.9201836054379928	1	2.6827049050779683	0.7625212996399755	0.2842359956164519	2.6827049050779683	4.293375156060036	1.9201836054379928	True	0.30066255221051263
b02__det_008	dsite_035	2	2	2.738611227045421	3	3.8844757995599375	1.1458645725145167	0.2949856381250538	5.862970920002394	2.738611227045421	3.8844757995599375	True	0.30066255221051263
b02__det_020	dsite_029	2	3	2.6839246459990025	1	3.832523094984651	1.1485984489856484	0.29969772406296447	3.832523094984651	5.22038374420301	2.6839246459990025	True	0.30066255221051263
