roi_id,fold,event_count,held_out_residual_event_correlation,same_roi_shift_mean_correlation,spatial_control_event_correlation,delta_vs_shift_mean,delta_vs_spatial_control,within_roi_pairwise_correlation,median_event_peak_residual_intensity,median_shift_peak_residual_intensity,peak_amplitude_delta
roi_018,0,3,0.896409272449152,-0.0013501733329561766,0.8946358086447743,0.8977594457821082,0.0017734638043777062,0.5275934636085013,188.26204545454556,38.04000000000002,150.22204545454554
roi_025,0,1,0.4310968460926966,-0.01180685536703279,0.31621764764166993,0.4429037014597294,0.11487919845102668,nan,37.237272727272796,30.237045454545466,7.000227272727329
roi_002,1,4,0.8733875110183611,-0.0006544185317526503,0.7856411535757437,0.8740419295501137,0.08774635744261738,0.3090006967555741,135.64784090909097,27.269090909090778,108.3787500000002
roi_004,1,4,0.8769608281518254,0.009417738128328263,0.881844699908881,0.8675430900234972,-0.0048838717570556245,0.2825883990990281,224.80261363636362,31.095909090909004,193.7067045454546
roi_006,1,4,0.3655334019359456,-0.008785698914107506,0.2858591360192659,0.3743191008500531,0.0796742659166797,0.26007961034566435,62.551249999999925,32.22318181818173,30.328068181818196
roi_008,1,2,0.15613618247704394,0.0044988232613011585,0.2148518009172218,0.15163735921574278,-0.058715618440177864,-0.08619389596400048,48.78727272727275,33.294090909090926,15.493181818181824
roi_012,1,4,0.1984043704054309,0.005666643026911401,0.8100704112777252,0.19273772737851952,-0.6116660408722943,0.007488823170270292,39.20465909090902,30.126136363636476,9.078522727272542
roi_016,1,3,0.8372624344081109,-0.009805077408239726,0.9174739559671661,0.8470675118163506,-0.0802115215590552,0.45098665103495966,153.0763636363639,36.25363636363636,116.82272727272755
roi_017,1,1,0.13345200999200882,-0.00687512487293688,0.0410387973923963,0.1403271348649457,0.09241321259961252,nan,45.05886363636364,36.813181818181874,8.245681818181765
roi_019,1,3,0.13530055435864025,0.012986154859620047,0.7586293101808295,0.1223143994990202,-0.6233287558221892,0.022305651546811744,27.48568181818183,26.90386363636361,0.5818181818182211
roi_005,2,4,0.9171381629767424,-0.0042034551830502295,0.8255261476089274,0.9213416181597927,0.09161201536781505,0.3198455778856511,204.6782954545455,29.78431818181815,174.89397727272734
roi_014,2,4,0.7981345489454863,0.004981286517525625,0.7334161786319757,0.7931532624279607,0.06471837031351058,0.334980268066918,99.59181818181804,33.27340909090901,66.31840909090903
roi_022,2,1,0.47823936475243783,-0.004704619895688364,0.3322857563261836,0.4829439846481262,0.1459536084262542,nan,47.01318181818192,32.4411363636363,14.572045454545616
roi_023,2,2,-0.6866519968736614,-0.0016564710180596008,0.8433720590319961,-0.6849955258556019,-1.5300240559056575,0.21682899954455304,50.13715909090905,30.309318181818185,19.827840909090867
roi_027,2,1,0.45395239801587606,0.009024590446422544,-0.3084379766072976,0.4449278075694535,0.7623903746231737,nan,48.54954545454552,31.199772727272716,17.349772727272807
roi_001,3,4,0.8564165972122062,0.009307919734801886,0.8148698622130344,0.8471086774774043,0.04154673499917183,0.3636055513703933,390.0906818181818,31.782045454545482,358.3086363636363
roi_003,3,4,0.8124592373140456,0.013930679308326522,0.8366769932448846,0.7985285580057191,-0.02421775593083908,0.37076486331713915,539.5406818181818,29.360681818181718,510.1800000000001
roi_007,3,4,0.3666681204705658,0.0021183406059513393,0.7125645047406787,0.36454977986461445,-0.3458963842701129,0.08085766629470541,41.94613636363627,32.410909090909115,9.535227272727155
roi_009,3,4,0.8305306018431934,-0.0011519856144446407,0.7412048937846408,0.831682587457638,0.08932570805855256,0.24000447499708835,144.1156818181818,30.602727272727293,113.5129545454545
roi_011,3,4,0.5998777389615033,0.0062467486714611895,0.8355758953130555,0.5936309902900421,-0.23569815635155222,0.16522229880669015,48.61170454545433,31.417500000000132,17.1942045454542
roi_021,3,2,0.6441780186500938,-0.004311619756476208,0.6967865997354306,0.64848963840657,-0.052608581085336725,0.6841291952492532,89.05340909090901,29.866363636363644,59.18704545454537
roi_010,4,8,0.44656645987603505,0.005386949022279817,0.834317536428177,0.44117951085375523,-0.3877510765521419,0.3635096861374976,56.48522727272726,31.25931818181823,25.225909090909028
roi_013,4,4,0.8462836710909606,-0.011066411896542954,0.8828804068730107,0.8573500829875036,-0.03659673578205014,0.336191574380156,196.5423863636365,29.471818181818264,167.07056818181823
roi_020,4,1,0.15034103111888983,0.0011913497424916604,0.127585484570419,0.14914968137639817,0.02275554654847084,nan,43.9975,29.865909090908985,14.131590909091017
roi_024,4,2,0.7741032046861095,-0.006980455740935681,0.7971840952598088,0.7810836604270451,-0.02308089057369933,0.7348217803136587,118.92352272727254,30.485227272727286,88.43829545454525
roi_026,4,1,0.6048684388680354,0.0011313730262683922,0.6627027086653617,0.603737065841767,-0.05783426979732631,nan,110.40977272727298,31.474545454545478,78.9352272727275
