observation_id	stage	v8_outcome	footprint_area_px	eccentricity	solidity	convexity_deficit	radial_asymmetry	boundary_sharpness	local_peak_count
b04__roi_015	raw	identity_collision	28	0.8019527763681032	0.8	0.19999999999999996	0.5036210580643142	116.26879699248121	5
b04__roi_015	cs_parzen_ica	identity_collision	27	0.7889846413240765	0.72	0.28	0.49358330851232773	1.8221829030248848	5
b04__roi_015	local_standardization	identity_collision	24	0.7925724441039972	0.8275862068965519	0.17241379310344807	0.445518095835055	2.4188986263237897	4
b04__roi_011	raw	identity_collision	26	0.8659284205241787	0.7323943661971831	0.2676056338028169	0.5492993218707967	154.84432234432234	5
b04__roi_011	cs_parzen_ica	identity_collision	28	0.8743247751577691	0.691358024691358	0.308641975308642	0.620980187058398	2.389311510213414	4
b04__roi_011	local_standardization	identity_collision	26	0.8591611081224076	0.7428571428571429	0.2571428571428571	0.6458079612928109	2.49800793131329	5
b03__roi_011	raw	identity_collision	28	0.9157762579456956	0.7887323943661971	0.21126760563380287	0.7853057318240123	102.83571428571435	6
b03__roi_011	cs_parzen_ica	identity_collision	36	0.9351941083709998	0.576	0.42400000000000004	0.8343211364784073	1.7752164181415333	6
b03__roi_011	local_standardization	identity_collision	16	0.7124048826979118	0.6274509803921569	0.37254901960784315	0.6311538205087832	1.9365322345555267	5
b03__roi_010	raw	identity_collision	24	0.7846376117936904	0.7741935483870969	0.22580645161290314	0.5557261492354374	129.60000000000002	6
b03__roi_010	cs_parzen_ica	identity_collision	26	0.6648477347206061	0.838709677419355	0.16129032258064502	0.5442853321159599	2.022698753155195	4
b03__roi_010	local_standardization	identity_collision	25	0.7411122592503377	0.8196721311475409	0.1803278688524591	0.5404667229294497	1.941501809696022	6
b01__roi_015	raw	identity_collision	26	0.8748045247756505	0.611764705882353	0.388235294117647	0.5331805904218536	77.18729096989966	6
b01__roi_015	cs_parzen_ica	identity_collision	22	0.9055562356816333	0.7857142857142857	0.2142857142857143	0.6691875478487332	1.4865523796332512	8
b01__roi_015	local_standardization	identity_collision	23	0.8835904091630866	0.647887323943662	0.352112676056338	0.7884228293187605	1.9736928934555338	8
b03__roi_022	raw	identity_clear_miss	19	0.7522370116398118	0.6551724137931034	0.3448275862068966	0.5156705998971423	64.3205741626794	12
b03__roi_022	cs_parzen_ica	identity_clear_miss	10	0.9102383721432404	0.7142857142857143	0.2857142857142857	0.7948881434957431	1.0054482698440554	11
b03__roi_022	local_standardization	identity_clear_miss	17	0.7076397674123819	0.5862068965517241	0.4137931034482759	0.5588105847725859	1.4198095364970906	10
b03__roi_019	raw	identity_clear_miss	3	1.0	1.0	0.0	2.6457513110645903	67.08333333333331	9
b03__roi_019	cs_parzen_ica	identity_clear_miss	1	0.0	1.0	0.0	0.0	0.0	1
b03__roi_019	local_standardization	identity_clear_miss	1	0.0	1.0	0.0	0.0	0.0	1
b04__roi_027	raw	identity_clear_miss	29	0.8513681127892252	0.6304347826086958	0.3695652173913042	0.5541349353078707	67.16341829085457	7
b04__roi_027	cs_parzen_ica	identity_clear_miss	34	0.6025586088473107	0.5074626865671643	0.4925373134328357	0.41114559036173803	1.4519295998648105	5
b04__roi_027	local_standardization	identity_clear_miss	22	0.9179139112614637	0.6285714285714286	0.37142857142857144	0.6962618411627634	1.6790097644005795	9
b02__roi_011	raw	identity_collision	17	0.7596292345504867	0.7234042553191491	0.2765957446808509	0.6532939109652861	123.43891402714931	7
b02__roi_011	cs_parzen_ica	identity_collision	24	0.7531493337875836	0.7741935483870968	0.22580645161290325	0.6746960964880503	1.4020805748609395	4
b02__roi_011	local_standardization	identity_collision	23	0.7546274798577225	0.7419354838709677	0.25806451612903225	0.7033880280985145	1.1589465362499958	4
b04__roi_025	raw	identity_clear_miss	5	0.9557961393962537	0.7692307692307693	0.23076923076923073	1.1728940719508454	77.8857142857143	10
b04__roi_025	cs_parzen_ica	identity_clear_miss	9	0.9250427563324688	0.5454545454545454	0.4545454545454546	1.0136829920540007	1.1168277636170387	11
b04__roi_025	local_standardization	identity_clear_miss	4	0.9128709291752768	0.8	0.19999999999999996	1.4304817284288427	1.998537349049002	11
b04__roi_023	raw	identity_collision	41	0.7589154921782771	0.872340425531915	0.12765957446808496	0.41888780101717227	158.32357723577235	3
b04__roi_023	cs_parzen_ica	identity_collision	39	0.7880216288738416	0.8666666666666667	0.1333333333333333	0.5065132069332858	2.4733377190736627	4
b04__roi_023	local_standardization	identity_collision	39	0.7936544002759702	0.8387096774193548	0.16129032258064524	0.4181470696670712	2.891423839352506	2
b02__roi_012	raw	identity_collision	24	0.8438818098156657	0.8421052631578947	0.1578947368421053	0.44554448127479074	137.62179487179486	4
b02__roi_012	cs_parzen_ica	identity_collision	26	0.8608280460465162	0.896551724137931	0.10344827586206895	0.48528067357084365	1.8723289849874853	4
b02__roi_012	local_standardization	identity_collision	22	0.7507571935295484	0.9565217391304348	0.04347826086956519	0.5222461736022705	1.6332342854625725	4
