observation_id	stage	v8_outcome	nearest_original_roi_id	candidate_original_r	candidate_neighbor_r	candidate_neighbor_partial_r_given_original	nnls_original_weight	nnls_neighbor_weight	nnls_two_trace_r2
b04__roi_015	raw	identity_collision	roi_new_012	0.7919220588784897	0.7876958150848229	0.5050735590063071	0.4649671349540527	0.4494615752803866	0.7222567327134384
b04__roi_015	cs_parzen_ica	identity_collision	roi_new_012	0.6476965999826246	0.7013535026993681	0.5264777759423074	0.3642816077218452	0.491144950255832	0.5804101899526777
b04__roi_015	local_standardization	identity_collision	roi_new_012	0.5027280222205232	0.5159542837152541	0.39477508788580284	0.3511472267860964	0.37341123461276027	0.3691946769162512
b04__roi_011	raw	identity_collision	roi_new_001	0.8732368588859813	0.9067587559015418	0.5924687838422302	0.32858780791210246	0.6164371057961995	0.8458947283927036
b04__roi_011	cs_parzen_ica	identity_collision	roi_new_001	0.7657600580984125	0.8223257902774368	0.5707503782244715	0.3292536719627043	0.5703282050165324	0.7211249028790075
b04__roi_011	local_standardization	identity_collision	roi_new_001	0.5681002770353516	0.669530885741103	0.5117792238964577	0.2768553538528826	0.5120651481009274	0.500125035387706
b03__roi_011	raw	identity_collision	roi_new_001	0.8787381330298084	0.9085100526446563	0.5909622763794428	0.3466134014833038	0.6022620049563606	0.8517434991313296
b03__roi_011	cs_parzen_ica	identity_collision	roi_new_001	0.7402115263961386	0.8415051840036225	0.6354297969555419	0.23213794945138394	0.6638360866160227	0.7304526941139391
b03__roi_011	local_standardization	identity_collision	roi_new_001	0.5367311346462608	0.6828407006014444	0.5440543368307977	0.21929591346391025	0.5581127793439765	0.49880506571863337
b03__roi_010	raw	identity_collision	roi_015	0.7640787913906637	0.7875381740086885	0.518040052877679	0.40359364549420546	0.4915677562252121	0.6955057180013162
b03__roi_010	cs_parzen_ica	identity_collision	roi_015	0.631539743930954	0.662685907005202	0.5099581317691835	0.39633571810249657	0.46006123642506297	0.5551778556594191
b03__roi_010	local_standardization	identity_collision	roi_015	0.4325875421855298	0.5059231253740332	0.43697003818419905	0.30821211949807054	0.4131350297690747	0.3423432887077278
b01__roi_015	raw	identity_collision	roi_010	0.7465763175811396	0.7359765887400742	0.4167108598953448	0.44753323951813667	0.4077836120890651	0.6342369097240241
b01__roi_015	cs_parzen_ica	identity_collision	roi_010	0.5822055400805771	0.6042981588512771	0.43884885676408586	0.36995742789453245	0.4151592583386084	0.4662712395582397
b01__roi_015	local_standardization	identity_collision	roi_010	0.41430042408076756	0.3965428389820949	0.3131828569156311	0.3243135504276739	0.29890736386816164	0.25289281613825954
b03__roi_022	raw	identity_clear_miss	roi_new_004	0.3704023431445019	0.514586060330265	0.4022427783673562	0.13022425604184085	0.4441691673818979	0.2767986315353723
b03__roi_022	cs_parzen_ica	identity_clear_miss	roi_new_004	0.06720192523608476	0.11024303498575429	0.10236317940004311	0.053338038548770866	0.10306845866907552	0.014946998573776682
b03__roi_022	local_standardization	identity_clear_miss	roi_new_004	0.06383077373084309	0.07584440646877694	0.07209284333567878	0.05926455002758136	0.07209058489128257	0.009250569706137135
b03__roi_019	raw	identity_clear_miss	roi_018	0.5509223238421606	0.478291469564051	0.26172009745528796	0.413469620214529	0.2580709903432514	0.3512227972298476
b03__roi_019	cs_parzen_ica	identity_clear_miss	roi_018	0.19988692371891867	0.32242099134781643	0.26726002648642844	0.07493241525509381	0.2901511052552955	0.10852881696924643
b03__roi_019	local_standardization	identity_clear_miss	roi_018	0.12199840462239595	0.2408065096598229	0.21465884749693318	0.050462217240172635	0.2247443739796556	0.060276218260732706
b04__roi_027	raw	identity_clear_miss	roi_005	0.5034343567847208	0.7097896472281409	0.5807441807211446	0.05092794641939413	0.6756830927364689	0.5052317419794516
b04__roi_027	cs_parzen_ica	identity_clear_miss	roi_005	0.24104375807844233	0.4971662320617071	0.452101674653227	0.06335145075856903	0.4733863636013842	0.25062218647166035
