observation_id	stage	v8_outcome	extraction	event_response	peak_mad
b04__roi_015	raw	identity_collision	point	531.0	7.461554026709834
b04__roi_015	raw	identity_collision	disk	402.2307692307693	15.745143666531723
b04__roi_015	raw	identity_collision	footprint	475.22830172561066	50.62990090486983
b04__roi_015	cs_parzen_ica	identity_collision	point	6.153244495391846	19.606849669399097
b04__roi_015	cs_parzen_ica	identity_collision	disk	4.929631169025715	27.815366008125455
b04__roi_015	cs_parzen_ica	identity_collision	footprint	6.339105129387583	49.801567975634846
b04__roi_015	local_standardization	identity_collision	point	4.601331442594528	10.933085436025788
b04__roi_015	local_standardization	identity_collision	disk	4.561988744598168	16.96681815389982
b04__roi_015	local_standardization	identity_collision	footprint	5.908828220309991	38.01486677169245
b04__roi_011	raw	identity_collision	point	694.0	13.767546678728149
b04__roi_011	raw	identity_collision	disk	541.8461538461538	34.18066841549005
b04__roi_011	raw	identity_collision	footprint	620.2226628895182	86.5287862541331
b04__roi_011	cs_parzen_ica	identity_collision	point	9.548988103866577	11.87965823567686
b04__roi_011	cs_parzen_ica	identity_collision	disk	7.452295862711393	93.64872379050722
b04__roi_011	cs_parzen_ica	identity_collision	footprint	8.604993245669402	119.31349613173893
b04__roi_011	local_standardization	identity_collision	point	5.300957679748535	4.663016447965768
b04__roi_011	local_standardization	identity_collision	disk	5.416238807714903	44.02651487600689
b04__roi_011	local_standardization	identity_collision	footprint	6.8111376454869506	57.23453989159338
b03__roi_011	raw	identity_collision	point	539.0	8.655964746616306
b03__roi_011	raw	identity_collision	disk	459.6153846153845	24.13222926869839
b03__roi_011	raw	identity_collision	footprint	501.90483242400614	29.308191555838235
b03__roi_011	cs_parzen_ica	identity_collision	point	7.542700529098511	16.185248353424964
b03__roi_011	cs_parzen_ica	identity_collision	disk	6.135338622790115	20.476922114355645
b03__roi_011	cs_parzen_ica	identity_collision	footprint	6.937208660281792	47.85891031005133
b03__roi_011	local_standardization	identity_collision	point	6.216856449842453	9.965930083354353
b03__roi_011	local_standardization	identity_collision	disk	5.315688197429363	14.920530260962659
b03__roi_011	local_standardization	identity_collision	footprint	6.366203962238693	40.665126740494316
b03__roi_010	raw	identity_collision	point	429.0	10.716908733905901
b03__roi_010	raw	identity_collision	disk	338.6153846153845	20.33635837819149
b03__roi_010	raw	identity_collision	footprint	472.57498043988517	62.146529203924054
b03__roi_010	cs_parzen_ica	identity_collision	point	6.375211715698242	16.545796831790856
b03__roi_010	cs_parzen_ica	identity_collision	disk	4.126685802753155	22.21792845354149
b03__roi_010	cs_parzen_ica	identity_collision	footprint	5.974329052386099	66.17621125926117
b03__roi_010	local_standardization	identity_collision	point	4.678560137748718	8.935232038908273
b03__roi_010	local_standardization	identity_collision	disk	3.7007123676057048	13.002672804346776
b03__roi_010	local_standardization	identity_collision	footprint	5.9497775471271	21.114047445892858
b01__roi_015	raw	identity_collision	point	211.0	4.066215721416046
b01__roi_015	raw	identity_collision	disk	155.46153846153857	3.4597609769091417
b01__roi_015	raw	identity_collision	footprint	208.94844244544402	8.962230142266202
b01__roi_015	cs_parzen_ica	identity_collision	point	3.8165314197540283	4.39291700626027
b01__roi_015	cs_parzen_ica	identity_collision	disk	1.5611206201406627	4.637070186721744
b01__roi_015	cs_parzen_ica	identity_collision	footprint	2.2507802635153307	19.388476903272366
b01__roi_015	local_standardization	identity_collision	point	4.430084824562073	3.465157597729197
b01__roi_015	local_standardization	identity_collision	disk	2.000024069960301	3.9754537507352206
b01__roi_015	local_standardization	identity_collision	footprint	2.9434990511475063	22.44212485648544
b03__roi_022	raw	identity_clear_miss	point	252.0	6.798866855524079
b03__roi_022	raw	identity_clear_miss	disk	171.61538461538453	29.505664399847113
b03__roi_022	raw	identity_clear_miss	footprint	142.86339189673708	12.268803704652477
b03__roi_022	cs_parzen_ica	identity_clear_miss	point	1.931520700454712	4.38010605081108
b03__roi_022	cs_parzen_ica	identity_clear_miss	disk	1.35395531470959	9.470253547700242
b03__roi_022	cs_parzen_ica	identity_clear_miss	footprint	1.3592472685869477	20.792716724623574
b03__roi_022	local_standardization	identity_clear_miss	point	2.3607392609119415	3.9550019168873485
b03__roi_022	local_standardization	identity_clear_miss	disk	1.6011070024508696	8.66566859195516
b03__roi_022	local_standardization	identity_clear_miss	footprint	1.822999290387545	12.813712369729718
b03__roi_019	raw	identity_clear_miss	point	249.0	5.417683842247491
b03__roi_019	raw	identity_clear_miss	disk	162.84615384615392	5.388290331365866
b03__roi_019	raw	identity_clear_miss	footprint	175.68812484759826	13.095118260624346
b03__roi_019	cs_parzen_ica	identity_clear_miss	point	3.43465793132782	6.802370534495344
b03__roi_019	cs_parzen_ica	identity_clear_miss	disk	1.7323296941243684	8.114731038910442
b03__roi_019	cs_parzen_ica	identity_clear_miss	footprint	2.0574820377717944	20.942858895896023
b03__roi_019	local_standardization	identity_clear_miss	point	5.32670259475708	6.032668861520122
b03__roi_019	local_standardization	identity_clear_miss	disk	2.611038020597054	7.2181931603521425
b03__roi_019	local_standardization	identity_clear_miss	footprint	2.8205904787405185	11.059533004163756
b04__roi_027	raw	identity_clear_miss	point	299.0	10.083636854175099
b04__roi_027	raw	identity_clear_miss	disk	209.76923076923083	16.134528956953393
b04__roi_027	raw	identity_clear_miss	footprint	227.70846236946363	20.395552964244807
b04__roi_027	cs_parzen_ica	identity_clear_miss	point	3.439156413078308	4.187099606172327
b04__roi_027	cs_parzen_ica	identity_clear_miss	disk	2.1596696468499994	18.79551165398189
b04__roi_027	cs_parzen_ica	identity_clear_miss	footprint	2.4422020199645855	21.110855240763033
b04__roi_027	local_standardization	identity_clear_miss	point	3.931392624974251	3.3000135576313054
b04__roi_027	local_standardization	identity_clear_miss	disk	2.4006187377067714	15.671672815077796
b04__roi_027	local_standardization	identity_clear_miss	footprint	2.7389837422219436	12.533915254291445
b02__roi_011	raw	identity_collision	point	238.0	1.6549360902621615
b02__roi_011	raw	identity_collision	disk	279.9230769230769	4.336522745115435
b02__roi_011	raw	identity_collision	footprint	278.71961492178093	4.028173221415063
b02__roi_011	cs_parzen_ica	identity_collision	point	3.523529291152954	1.9801100378877763
b02__roi_011	cs_parzen_ica	identity_collision	disk	2.644674165890767	8.327997272049604
b02__roi_011	cs_parzen_ica	identity_collision	footprint	3.4732560325567667	18.433007640208324
b02__roi_011	local_standardization	identity_collision	point	2.7810045666992664	1.9880598912551388
b02__roi_011	local_standardization	identity_collision	disk	2.136935823238813	10.354228407590336
b02__roi_011	local_standardization	identity_collision	footprint	2.8120304644014045	14.623978559673532
b04__roi_025	raw	identity_clear_miss	point	228.0	7.323042531460176
b04__roi_025	raw	identity_clear_miss	disk	184.9999999999999	9.062292047716294
b04__roi_025	raw	identity_clear_miss	footprint	182.2493801487642	18.752749114814996
b04__roi_025	cs_parzen_ica	identity_clear_miss	point	2.8441665172576904	4.2359288630998515
b04__roi_025	cs_parzen_ica	identity_clear_miss	disk	1.635334794337933	9.537394206822688
b04__roi_025	cs_parzen_ica	identity_clear_miss	footprint	1.7612241573673408	26.523295572211524
b04__roi_025	local_standardization	identity_clear_miss	point	3.888542428612709	3.982065040483598
b04__roi_025	local_standardization	identity_clear_miss	disk	1.9360302683825674	7.6986158983362705
b04__roi_025	local_standardization	identity_clear_miss	footprint	2.4543982029031386	15.732159874496809
b04__roi_023	raw	identity_collision	point	231.0	4.100193827344565
b04__roi_023	raw	identity_collision	disk	174.76923076923072	9.401490831477526
b04__roi_023	raw	identity_collision	footprint	347.8020687727144	63.80311896285827
b04__roi_023	cs_parzen_ica	identity_collision	point	2.1241867542266846	4.196402098419397
b04__roi_023	cs_parzen_ica	identity_collision	disk	1.0679675478201647	7.838045875423463
b04__roi_023	cs_parzen_ica	identity_collision	footprint	4.403815549949589	34.183823168342236
b04__roi_023	local_standardization	identity_collision	point	0.807208240032196	1.1310849730917498
b04__roi_023	local_standardization	identity_collision	disk	1.1501159965991974	5.678652307385618
b04__roi_023	local_standardization	identity_collision	footprint	4.969712906073106	23.54157337248866
b02__roi_012	raw	identity_collision	point	203.0	2.173359113869029
b02__roi_012	raw	identity_collision	disk	191.0	3.006751446643424
b02__roi_012	raw	identity_collision	footprint	278.5803996870777	3.3675097177196793
b02__roi_012	cs_parzen_ica	identity_collision	point	2.144801139831543	3.2433276194760308
b02__roi_012	cs_parzen_ica	identity_collision	disk	2.0735718470353346	6.236510502425024
b02__roi_012	cs_parzen_ica	identity_collision	footprint	3.4275526134869443	5.999278313548238
b02__roi_012	local_standardization	identity_collision	point	1.6373368203639984	3.2101055042286317
b02__roi_012	local_standardization	identity_collision	disk	1.7084218928447135	4.6926656922563215
b02__roi_012	local_standardization	identity_collision	footprint	2.860449787163826	9.211252997591494
