observation_id	stage	v8_outcome	nearest_original_roi_id	nearest_distance_px	top1_top2_margin	top1_top2_ratio	original_response	neighbor_response	original_to_neighbor_response_ratio
b04__roi_015	raw	identity_collision	roi_new_012	2.8284271247461903	4.0	1.0062402496099845	531.0	563.0	0.9431616341030196
b04__roi_015	cs_parzen_ica	identity_collision	roi_new_012	2.8284271247461903	0.2355870008468628	1.0265929543614827	6.153244495391846	6.950853586196899	0.8852501954020501
b04__roi_015	local_standardization	identity_collision	roi_new_012	2.8284271247461903	0.39629408717155457	1.0439785903408805	4.601331442594528	5.604371547698975	0.8210254090815461
b04__roi_011	raw	identity_collision	roi_new_001	4.123105625617661	61.0	1.0755885997521686	694.0	nan	nan
b04__roi_011	cs_parzen_ica	identity_collision	roi_new_001	4.123105625617661	0.5574744939804077	1.049393489373371	9.548988103866577	nan	nan
b04__roi_011	local_standardization	identity_collision	roi_new_001	4.123105625617661	0.35237482842057943	1.0378427920210174	5.300957679748535	nan	nan
b03__roi_011	raw	identity_collision	roi_new_001	6.0	20.0	1.0269905533063428	539.0	nan	nan
b03__roi_011	cs_parzen_ica	identity_collision	roi_new_001	6.0	1.129809856414795	1.1146415523063335	7.542700529098511	nan	nan
b03__roi_011	local_standardization	identity_collision	roi_new_001	6.0	0.01982809230685234	1.0023160307659305	6.216856449842453	nan	nan
b03__roi_010	raw	identity_collision	roi_015	3.1622776601683795	4.0	1.005952380952381	429.0	449.0	0.955456570155902
b03__roi_010	cs_parzen_ica	identity_collision	roi_015	3.1622776601683795	0.7012879848480225	1.0799852886990833	6.375211715698242	6.701220273971558	0.951350866716085
b03__roi_010	local_standardization	identity_collision	roi_015	3.1622776601683795	0.4190182089805603	1.0509974876590438	4.678560137748718	5.587260186672211	0.8373621384071042
b01__roi_015	raw	identity_collision	roi_010	2.8284271247461903	62.0	1.173669467787115	211.0	274.0	0.7700729927007299
b01__roi_015	cs_parzen_ica	identity_collision	roi_010	2.8284271247461903	0.06481504440307617	1.0125362674853802	3.8165314197540283	3.201743006706238	1.192016789529978
b01__roi_015	local_standardization	identity_collision	roi_010	2.8284271247461903	0.7482972592115402	1.1257095097623961	4.430084824562073	3.639259859919548	1.2173037911780247
b03__roi_022	raw	identity_clear_miss	roi_new_004	16.97056274847714	9.0	1.0301003344481605	252.0	nan	nan
b03__roi_022	cs_parzen_ica	identity_clear_miss	roi_new_004	16.97056274847714	0.1984637975692749	1.0474708570622038	1.931520700454712	nan	nan
b03__roi_022	local_standardization	identity_clear_miss	roi_new_004	16.97056274847714	0.07773134112358093	1.0148147611703375	2.3607392609119415	nan	nan
b03__roi_019	raw	identity_clear_miss	roi_018	18.027756377319946	25.0	1.0803858520900322	249.0	nan	nan
b03__roi_019	cs_parzen_ica	identity_clear_miss	roi_018	18.027756377319946	0.12734436988830566	1.0329782440747923	3.43465793132782	nan	nan
b03__roi_019	local_standardization	identity_clear_miss	roi_018	18.027756377319946	0.8272161185741425	1.149178758585187	5.32670259475708	nan	nan
b04__roi_027	raw	identity_clear_miss	roi_005	8.06225774829855	36.0	1.0925449871465296	299.0	nan	nan
b04__roi_027	cs_parzen_ica	identity_clear_miss	roi_005	8.06225774829855	0.17101836204528809	1.032206324715622	3.439156413078308	nan	nan
b04__roi_027	local_standardization	identity_clear_miss	roi_005	8.06225774829855	0.0859193205833435	1.015925817964679	3.931392624974251	nan	nan
b02__roi_011	raw	identity_collision	roi_new_001	5.0	32.0	1.0715883668903803	238.0	nan	nan
b02__roi_011	cs_parzen_ica	identity_collision	roi_new_001	5.0	0.033614158630371094	1.0057448633290706	3.523529291152954	nan	nan
b02__roi_011	local_standardization	identity_collision	roi_new_001	5.0	0.11938340216875076	1.026039791929059	2.7810045666992664	nan	nan
b04__roi_025	raw	identity_clear_miss	roi_010	25.238858928247925	33.0	1.093484419263456	228.0	nan	nan
b04__roi_025	cs_parzen_ica	identity_clear_miss	roi_010	25.238858928247925	0.2403881549835205	1.0528692579145844	2.8441665172576904	nan	nan
b04__roi_025	local_standardization	identity_clear_miss	roi_010	25.238858928247925	0.6555002331733704	1.1232060322112283	3.888542428612709	nan	nan
b04__roi_023	raw	identity_collision	roi_026	5.656854249492381	9.0	1.0170454545454546	231.0	434.0	0.532258064516129
b04__roi_023	cs_parzen_ica	identity_collision	roi_026	5.656854249492381	0.032874464988708496	1.0043079132175068	2.1241867542266846	4.245457649230957	0.500343409293335
b04__roi_023	local_standardization	identity_collision	roi_026	5.656854249492381	0.18720480799674988	1.0218586559895078	0.807208240032196	4.868395149707794	0.1658058179769252
b02__roi_012	raw	identity_collision	roi_new_002	0.0	43.0	1.0875763747454175	203.0	534.0	0.3801498127340824
b02__roi_012	cs_parzen_ica	identity_collision	roi_new_002	0.0	2.412745475769043	1.4149437665611955	2.144801139831543	8.227377891540527	0.2606907289425528
b02__roi_012	local_standardization	identity_collision	roi_new_002	0.0	2.2233617613092065	1.4488668394125008	1.6373368203639984	7.176638693548739	0.22814814710344017
