outer_held_out_burst	selected_rank_one_se	minimum_error_rank	inner_mean_nmse_by_rank	one_se_threshold	numerical_nmse_tolerance	outer_nmse_selected	outer_nmse_rank1	outer_variance_explained_selected	held_out_burst_weights	selected_seed	training_nmse	seed_training_nmse
1	3	3	"{""1"": 0.26269233807140363, ""2"": 0.1034839946881106, ""3"": 0.04691491549266932, ""4"": 0.05579754036361006}"	0.06627194244549083	1e-08	0.06347607826908974	0.13139512889173743	0.9365239217309103	[2396.9886216027858, 5587.686452627858, 7780.447773481236]	0	0.013698754762329249	[0.013698754762329249, 0.027932425193334567, 0.13268597974525786, 0.019230134202885642, 0.028631320758570916, 0.09719549345541013, 0.030710961684766513, 0.01843365532696165]
2	3	3	"{""1"": 0.15447440097130682, ""2"": 0.08512769988227227, ""3"": 0.049769788951002834, ""4"": 0.07128738110580522}"	0.06282387413487375	1e-08	0.07774956022616317	0.4223990580725892	0.9222504397738368	[2199.9945609612673, 835.7156698653775, 3310.641727454169]	0	0.01420288707672406	[0.01420288707672406, 0.019574645365697797, 0.12124344939647258, 0.02272329566619153, 0.025862357600762748, 0.05143512226318634, 0.028796113709867142, 0.014757200115973791]
3	3	3	"{""1"": 0.3852690443277378, ""2"": 0.13259091182779348, ""3"": 0.08881446088469318, ""4"": 0.10314493128994963}"	0.10306934972266162	1e-08	0.029269808753926693	0.08524364855562924	0.9707301912460733	[3042.029684172681, -6144.8857704378215, -5246.147023806141]	4	0.022879470814939875	[0.026849762078639074, 0.06890498742277855, 0.5134838086109534, 0.13251376151442693, 0.022879470814939875, 0.37420355609348016, 0.10778441493094737, 0.0374451185293444]
4	3	3	"{""1"": 0.1488892826161225, ""2"": 0.1127249142736208, ""3"": 0.07420441945251531, ""4"": 0.08197702292170847}"	0.0962318734585822	1e-08	0.06077653646673048	0.23737515933387557	0.9392234635332695	[4037.060759002372, -5635.269814818713, -1297.06614452157]	4	0.017691022656027403	[0.02339517030864447, 0.07553997723604285, 0.734647711479012, 0.19478871353272345, 0.017691022656027403, 0.9583378090545472, 0.01954887206292234, 0.03688645907526087]
