dataset_partition	method_id	clip_count	centered_rms_ratio_median	centered_rms_ratio_q1	centered_rms_ratio_q3	centered_rms_ratio_mean	centered_mad_ratio_median	centered_mad_ratio_q1	centered_mad_ratio_q3	centered_mad_ratio_mean	dynamic_mad_ratio_median	dynamic_mad_ratio_q1	dynamic_mad_ratio_q3	dynamic_mad_ratio_mean	temporal_spectral_flatness_median	temporal_spectral_flatness_q1	temporal_spectral_flatness_q3	temporal_spectral_flatness_mean	temporal_low_frequency_power_fraction_median	temporal_low_frequency_power_fraction_q1	temporal_low_frequency_power_fraction_q3	temporal_low_frequency_power_fraction_mean	residual_absolute_lag1_autocorrelation_median	residual_absolute_lag1_autocorrelation_q1	residual_absolute_lag1_autocorrelation_q3	residual_absolute_lag1_autocorrelation_mean	residual_portmanteau_mean_squared_autocorrelation_lags_1_4_median	residual_portmanteau_mean_squared_autocorrelation_lags_1_4_q1	residual_portmanteau_mean_squared_autocorrelation_lags_1_4_q3	residual_portmanteau_mean_squared_autocorrelation_lags_1_4_mean	residual_seam_to_interior_jump_ratio_median	residual_seam_to_interior_jump_ratio_q1	residual_seam_to_interior_jump_ratio_q3	residual_seam_to_interior_jump_ratio_mean	prediction_seam_to_interior_jump_ratio_median	prediction_seam_to_interior_jump_ratio_q1	prediction_seam_to_interior_jump_ratio_q3	prediction_seam_to_interior_jump_ratio_mean	prediction_best_lag_frames_median	prediction_best_lag_frames_q1	prediction_best_lag_frames_q3	prediction_best_lag_frames_mean	inference_seconds_median	inference_seconds_q1	inference_seconds_q3	inference_seconds_mean
held_validation	causal_ema_alpha_0p25	96	1.0839472587957277	1.0743327955874316	1.0878597953248295	1.0752141592806082	1.0792580913251264	1.0710128289422542	1.087104335208307	1.0742461375290306	1.1323337635761044	1.1270823186319285	1.1402091917144277	1.1339091422526197	0.9861778001849326	0.9826787476518953	0.9916198380065782	0.9856540336108086	0.20118340682444807	0.1944308742429544	0.2175772428984757	0.21424251838399624	0.11871415702060242	0.09813489386314966	0.1284977076834325	0.1109181521364247	0.007793196774884526	0.005806772584946526	0.008685014584846069	0.007381446786774402	0.9998520604290834	0.9959027828732749	1.0037399147758932	1.000190159510616	0.9993695259600244	0.9929173598455332	1.006070679777494	1.000239051203718	1.0	1.0	1.0	1.0104166666666667	0.00023763248464092612	0.0002127033076249063	0.0002755922614596784	0.00025476822459798615
held_validation	causal_temporal_median_w7	96	1.113808990899252	1.1070224824921755	1.1159651305515572	1.1095885890735644	1.1296296163332413	1.1186443549161265	1.1379308795268415	1.1258842236626232	1.1030062492922312	1.0941922969111615	1.1114585561809145	1.1041107883063441	0.9883575457574227	0.9832802379500607	0.9892852534153751	0.9791233632533864	0.29648604522784194	0.2884176158560761	0.3179576157516063	0.31317078193667136	0.015309589826749605	0.003564116914235094	0.045943400364649015	0.04038337396219723	0.002145499702966387	0.001957030085656515	0.0023800794929326645	0.004383652952817666	0.9992919732933387	0.9951293172857429	1.0046505188738912	1.000107980930509	0.9976459365431418	0.9907787277522216	1.0064779213697164	0.9996221956560687	2.0	1.0	3.0	2.1458333333333335	0.00923628400778398	0.009159372479189187	0.009306015708716586	0.009450682332195962
held_validation	causal_zero_order_hold	96	1.4246613158309382	1.3974274553860349	1.4395148581273294	1.4037385293568947	1.4285715714397371	1.396098167369165	1.4402941896822767	1.4086616485996164	1.727272533678394	1.7173913756053996	1.7407403835618793	1.7285438064515937	0.7041792041657343	0.6999095548850462	0.718237915105299	0.7123877859119396	0.044657182578803536	0.043902181611924364	0.0471990275426547	0.046787558478074635	0.4969451248904182	0.4914458653734292	0.49964029424692724	0.49289968769145937	0.061752141936385285	0.06039949878938596	0.06241305636214962	0.060808683790986105	0.9995795024481866	0.9952732503399734	1.0041240204351929	0.9999404405545148	0.9994131685417416	0.9956094499298239	1.0042783398419814	1.0006337320740357	1.0	1.0	1.0	1.0	8.994346717372537e-05	8.49059724714607e-05	9.796972153708339e-05	9.187399215685825e-05
held_validation	frozen_jepa_decoder_run_b	96	1.654073498351828	1.4718620509581224	2.292405248981256	1.908427979591994	1.468640372101994	1.3565343627220896	1.607018718643166	1.4899801864720033	1.1168757555129893	1.0969508049511916	1.1595270046066308	1.1331313863416985	0.7140654654376432	0.6036697445459921	0.7802788197052197	0.692397641467573	0.5974789005782084	0.5456692603516562	0.697943537271324	0.6140803124802047	0.5007034089633962	0.41726169212015407	0.683530012206781	0.5313625486004381	0.14922494344447568	0.10084267822975317	0.2708487083049326	0.18363772998690106	1.2551006775719906	1.1805547548921411	1.3943399487334687	1.3106210700355374	2.517097332430658	1.8550977793617969	3.114378801885999	2.6170708512796947	1.0	-3.25	4.0	0.53125	0.4233613560209051	0.4138837347563822	0.43803450374980457	0.42725594910856063
held_validation	frozen_random_decoder_run_b	96	1.0853790953499844	1.0519734055157846	1.1642606313836086	1.110199412593334	1.079398577783685	1.0491341307344029	1.163945091506936	1.1058487466904563	1.0401318810758693	1.0242684930057513	1.0918042062424735	1.0587325301096053	0.9787521869455316	0.9394904806798885	0.9904080346833188	0.9575419662094559	0.3213030693726673	0.2973424150847115	0.35952473270674623	0.3357344026788511	0.07383815491947879	0.030030953588480458	0.13260503771822485	0.092476411365376	0.0018927894661250138	0.000708506180771096	0.007508330752713642	0.007215123315330067	1.0894172598937093	1.0585646938521573	1.1157763207998523	1.084596801661192	1.9615184182519947	1.712955504301537	2.1977706639964074	1.973693530921297	1.0	-2.0	3.0	0.4375	0.3857418195111677	0.370831876702141	0.39616740122437477	0.385394517693688
held_validation	low_rank_ar1_rank8_train512	96	0.9922478733060913	0.9766122397335814	1.0004760719986865	0.9821423088191116	0.9923540736809786	0.9709381155434136	0.9985159446488575	0.98215097409077	1.0023796739893733	0.9978781783284776	1.0112295323526936	1.0043753518951657	0.9998176200106745	0.9996752415673664	0.9998741831240835	0.9975657838524171	0.25101869092634055	0.24900884086604755	0.2542174842912387	0.2562493644166624	0.04250385721165442	0.03788832653271683	0.04591859739845163	0.043848273734172306	0.001833210785616532	0.0017169538097307438	0.001954968246977759	0.0022861985404361187	0.9994267290072233	0.9955237847070454	1.0035986711110647	1.0001658937414855	1.0101633188598609	0.9960291324882465	1.0337712343811993	1.0146997604496715	1.0	1.0	1.0	0.9583333333333334	0.000296273035928607	0.0002754678134806454	0.00034534395672380924	0.0003374977895873599
held_validation	no_subtraction_identity	96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986997109064512	0.9916806577613373	0.9998341599209548	0.9873392909002403	0.2666319561413878	0.25275602211172193	0.2926580818478197	0.2844723266458989	0.03760403733034511	0.019778283370971955	0.04530008073996632	0.04861650315400918	0.001414050490029943	0.0008505512589385353	0.0018563299090054726	0.0034728881696105608	0.9994038073326019	0.995843626588762	1.0035535307351764	1.0004391122528171	0.0	0.0	0.0	0.0					0.000118304044008255	0.00011272580013610423	0.00012611897545866668	0.00011834639250688876
held_validation	per_pixel_ar1_train512	96	1.420956152205612	1.3937949266070306	1.4357786256951353	1.4000833534522765	1.4260229673978366	1.3896408547745218	1.435278599823452	1.4049830712525333	1.722435490598402	1.7135643355546732	1.7331503759392222	1.7240527764595484	0.704214675649056	0.6999239273541519	0.7181483104381193	0.712396810031616	0.044662235195844335	0.04390722461092822	0.04719891222874102	0.04678723872044938	0.496924387482394	0.4914273467768153	0.49963588160943395	0.4928990381766332	0.0617516966479389	0.06039567092493908	0.062411951336992795	0.060808222847247566	0.9995973960980808	0.9953393200147186	1.0041328671888492	0.9999640417932701	0.9994404074662905	0.9956847236759162	1.0043305776700127	1.0006833608665673	1.0	1.0	1.0	1.0	0.00017140543786808848	0.00016102500376291573	0.00020109978504478931	0.00018331201984741105
registered_source_off_windows	causal_ema_alpha_0p25	12	1.0806567165138432	1.0470801480095457	1.0872300020250503	1.0517670575790785	1.0691792058935534	1.0448910481324019	1.0844627576629153	1.0395648161523614	1.1338556444563794	1.128438005451177	1.145679701410302	1.1358031792270924	0.986462996585411	0.9825983211764353	0.996211461664232	0.9739072676875123	0.21052878506084766	0.19615222509826677	0.23097481641892897	0.24149256145949363	0.11351170294305882	0.08437036666099859	0.13136095386471192	0.1288344010169261	0.00700543591409776	0.004373127698724999	0.008559864850151538	0.01328028574194854	1.0016243245644803	0.9959338150678975	1.0062900946721798	1.0007052618623884	0.9938834451099852	0.9878527938911228	1.001841978024098	0.9930899382150086	1.0	1.0	1.0	1.1666666666666667	0.00021263753296807408	0.00019705051090568304	0.00027129254885949194	0.00023024184823346636
registered_source_off_windows	causal_temporal_median_w7	12	1.116895174371824	1.1045085801631835	1.1180590367771774	1.097278318988789	1.1231070211610592	1.1030364204946155	1.1310124100518504	1.090223138622905	1.110175332349848	1.0995098585084992	1.1176467010633229	1.1087613800329945	0.9838128092588321	0.9789568786434724	0.9891986936175301	0.9575590529302763	0.3115318580547071	0.2901555343449258	0.33375369046029263	0.3422813746714823	0.04095690817715607	0.0051209239975249215	0.06414375922582352	0.0820157877364651	0.0019884307407583256	0.0019170174811172938	0.0023606230027490654	0.013667119600214871	1.0020401234288552	0.9968439057303468	1.0051739272534808	0.9999665473154306	0.9910837123825997	0.9866854818911789	1.0078104008881592	0.9945301692111225	3.0	1.0	4.0	2.5	0.009203768509905785	0.009157704305835068	0.009257408528355882	0.009147999594764164
