site_id	y_px	x_px	denominator_median	denominator_p10	denominator_p90	floor_fraction	ls_reconstruction_rmse
b004_c03@x275_y227	227	275	2.548485279083252	1.4172883033752441	3.403825044631958	0.0	1.175139118458901e-06
b004_c07@x456_y127	127	456	0.7063232064247131	0.675884485244751	1.1027246713638306	0.0	5.477378408613731e-07
b004_c08@x398_y80	80	398	1.0108879804611206	0.9839247465133667	1.4474292993545532	0.0	1.091125682251004e-06
b004_c15@x344_y252	252	344	1.471039056777954	1.3625528812408447	1.5649207830429077	0.0	1.0042136864285567e-06
b005_c02@x367_y220	220	367	0.6747316122055054	0.6466277837753296	1.095238208770752	0.0	5.60105320346338e-07
b006_c03@x452_y87	87	452	0.7937110662460327	0.7745874524116516	1.0116456747055054	0.0	5.991958573758893e-07
b006_c05@x273_y160	160	273	1.8461343050003052	1.4047752618789673	2.4649760723114014	0.0	1.1178308341186494e-06
b006_c06@x496_y139	139	496	0.6399316191673279	0.6068128347396851	0.9686383008956909	0.0	5.374341185415688e-07
b006_c07@x404_y138	138	404	0.6971548795700073	0.6723489165306091	1.2480111122131348	0.0	5.569700078922324e-07
b006_c09@x404_y139	139	404	0.702438235282898	0.6727995276451111	1.2446585893630981	0.0	5.305860213411506e-07
b006_c13@x336_y119	119	336	1.2624435424804688	1.2207248210906982	1.6536933183670044	0.0	1.2868574685853673e-06
b006_c14@x400_y49	49	400	0.8004450798034668	0.7653226256370544	1.308072805404663	0.0	5.514482381840935e-07
b006_c16@x404_y136	136	404	0.6948368549346924	0.6756173968315125	1.2656389474868774	0.0	5.20763478562003e-07
roi_001@x425_y222	222	425	0.749144434928894	0.6636714935302734	2.413694381713867	0.0	8.605576908848889e-07
roi_002@x438_y208	208	438	0.7126117944717407	0.593934953212738	2.1824324131011963	0.0	5.478643174683384e-07
roi_003@x406_y217	217	406	0.7729932069778442	0.6476956605911255	3.0570507049560547	0.0	1.0032304089691024e-06
roi_004@x391_y223	223	391	0.7252241969108582	0.6804586052894592	1.7812165021896362	0.0	6.442037943088508e-07
roi_005@x386_y193	193	386	0.6614030599594116	0.6119328141212463	1.4773612022399902	0.0	6.326298489511828e-07
roi_006@x407_y243	243	407	0.7581057548522949	0.6956338286399841	1.0814900398254395	0.0	5.122308266436448e-07
roi_007@x479_y229	229	479	0.7483831644058228	0.7216945886611938	1.0703465938568115	0.0	5.344599571799336e-07
roi_008@x401_y259	259	401	0.7813537120819092	0.761254608631134	0.927009105682373	0.0	5.82344114263833e-07
roi_009@x351_y170	170	351	0.70675128698349	0.6725316047668457	1.3561450242996216	0.0	6.297144636846497e-07
roi_010@x389_y139	139	389	0.7083677649497986	0.671639621257782	1.6108927726745605	0.0	5.025905807087838e-07
roi_011@x420_y143	143	420	0.7575879096984863	0.6786645650863647	1.9777932167053223	0.0	4.832673994314973e-07
roi_012@x441_y158	158	441	0.6859139204025269	0.6168074607849121	1.5763646364212036	0.0	5.319570846040733e-07
roi_013@x447_y146	146	447	0.6962389945983887	0.6318842768669128	1.8046823740005493	0.0	6.113564836596197e-07
roi_014@x483_y139	139	483	0.7473134994506836	0.7000011205673218	1.5136326551437378	0.0	5.959876148153853e-07
roi_015@x389_y142	142	389	0.7031163573265076	0.6706344485282898	1.5728752613067627	0.0	5.430974283626711e-07
roi_016@x388_y285	285	388	0.8432255387306213	0.8061859607696533	1.5912336111068726	0.0	6.03656758357829e-07
roi_018@x472_y202	202	472	0.7440459728240967	0.704095184803009	1.259136438369751	0.0	6.205791009961104e-07
roi_019@x491_y213	213	491	0.6021111011505127	0.565847635269165	0.7770290374755859	0.0	5.799528253191966e-07
roi_021@x369_y218	218	369	0.6741065979003906	0.6482861638069153	1.1453818082809448	0.0	5.400497684604488e-07
roi_022@x351_y224	224	351	0.7189704775810242	0.690853476524353	0.8374621868133545	0.0	5.816096972921514e-07
roi_023@x337_y209	209	337	0.7323207855224609	0.7071947455406189	0.9865731596946716	0.0	5.24099561971525e-07
roi_024@x355_y153	153	355	0.7114081382751465	0.6668720245361328	1.0931297540664673	0.0	5.549593424802879e-07
roi_025@x364_y130	130	364	0.7080311179161072	0.68277907371521	0.83896404504776	0.0	5.544400778489944e-07
roi_026@x338_y203	203	338	0.74127596616745	0.7103358507156372	0.9469752311706543	0.0	5.901036388422654e-07
roi_027@x385_y205	205	385	0.701164960861206	0.6647655367851257	0.9508741497993469	0.0	5.578579020948382e-07
roi_new_001@x428_y146	146	428	0.7116963267326355	0.641859769821167	1.8543286323547363	0.0	5.731903911510017e-07
roi_new_002@x437_y153	153	437	0.6931233406066895	0.6275988221168518	1.5415544509887695	0.0	6.054763730389823e-07
roi_new_003@x468_y143	143	468	0.6904395818710327	0.6538974642753601	1.3563971519470215	0.0	5.410973358266347e-07
roi_new_003@x470_y142	142	470	0.6976684331893921	0.6590088605880737	1.3780043125152588	0.0	5.542469807551242e-07
roi_new_004@x338_y238	238	338	1.2618348598480225	1.1378569602966309	1.5152673721313477	0.0	8.28997940516274e-07
roi_new_005@x445_y172	172	445	0.5837019681930542	0.5530906319618225	0.8219338059425354	0.0	5.988241582599585e-07
roi_new_006@x407_y170	170	407	0.6507720947265625	0.6182475686073303	0.952573299407959	0.0	5.985963298371644e-07
roi_new_006@x408_y168	168	408	0.6611173152923584	0.6287065148353577	0.9727189540863037	0.0	5.500394877344661e-07
roi_new_007@x422_y68	68	422	0.892966628074646	0.8669746518135071	1.1778837442398071	0.0	6.941996844034293e-07
roi_new_010@x423_y138	138	423	0.7488222122192383	0.6887410283088684	1.8079540729522705	0.0	5.103158855490619e-07
roi_new_011@x338_y103	103	338	1.407875418663025	1.3483786582946777	1.6543805599212646	0.0	1.4637333833888988e-06
roi_new_012@x388_y146	146	388	0.7105728387832642	0.6811203360557556	1.53866708278656	0.0	4.817711101168243e-07
