observation_id	site_id	original_roi_id	canonical_roi_id	trace_class_id	burst_id	stage	x_px	y_px	event_start_ui	event_end_ui	baseline	pre_noise_mad	event_peak	event_min	event_area_signed	event_area_positive	robust_snr	time_to_peak_s	fwhm_s	persistence_ratio	baseline_slope_per_s	spatial_center_peakmap	spatial_annulus_peakmap	center_annulus_contrast	effective_radius_px	peak_offset_px	high_response_components	annulus_event_peak	center_annulus_trace_correlation	raw_local_saturation_fraction	raw_center_saturation_fraction	previous_stage	shape_corr_from_previous	peak_gain_from_previous	peak_time_shift_from_previous_s	contrast_gain_from_previous	recovery_candidate_metadata_available	recovery_matched_at_58	recovery_nearest_rank	recovery_nearest_distance_px	ica_to_ls_effective_scale_proxy_median	ica_to_ls_effective_scale_proxy_min
b03__roi_003	roi_003@x406_y217	roi_003	roi_003	1	3	Raw	405.575	216.977	2122	2149	1241.0	68.19959999999999	2005.0	590.0	36480.0	36480.0	29.39899940719009	0.6	2.2	0.696428571428539	83.64285714285698	1664.6923076923076	743.5568181818181	921.1354895104895	7.605091453827141	0.18651064202021192	4	669.8522727272727	0.9785531024401913	0.0	0.0		nan	nan	nan	nan	True	True	1	1.4251856019480522	nan	nan
b03__roi_003	roi_003@x406_y217	roi_003	roi_003	1	3	CS-Parzen ICA	405.575	216.977	2122	2149	2.2611937522888184	0.8360273498296737	33.1680474281311	0.773693323135376	489.72353625297546	489.72353625297546	39.67339991354963	0.8	1.4	0.43730437403676914	1.0932015883071078	25.74093058476081	10.653401973572644	15.087528611188167	7.426668357094529	0.14945529879792324	3	9.476832408119332	0.9695589333258279	nan	nan	Raw	0.9072981248100307	0.016542667046441178	0.20000000000000007	0.016379271869320346	True	True	1	1.4251856019480522	nan	nan
b03__roi_003	roi_003@x406_y217	roi_003	roi_003	1	3	Local standardization	405.575	216.977	2122	2149	0.2685098946094513	0.9944262785732746	24.17770478129387	-0.7739376127719879	225.13693369179964	226.1188843846321	24.313219871531288	0.2	0.8	0.1342354835695937	1.6056061710364053	18.481252131553795	5.7808073463066565	12.70044478524714	7.589956611756238	0.11856815822783837	13	5.168936000089161	0.9852945826750108	nan	nan	CS-Parzen ICA	0.7433260653742925	0.7289456767979318	-0.6000000000000001	0.8417843048852501	True	True	1	1.4251856019480522	4.311260792424818	0.8546252401123765
b04__roi_003	roi_003@x406_y217	roi_003	roi_003	1	4	Raw	405.575	216.977	2254	2300	1112.0	54.856199999999994	1821.0	-9.0	44706.0	44715.0	33.19588305363486	1.5	2.5	0.7012898070996194	-46.10714285714328	1539.6153846153845	769.4431818181819	770.1722027972027	7.679637289414571	0.47565040574191825	2	674.784090909091	0.9889061249694794	0.0	0.0		nan	nan	nan	nan	True	True	1	1.4251856019480522	nan	nan
b04__roi_003	roi_003@x406_y217	roi_003	roi_003	1	4	CS-Parzen ICA	405.575	216.977	2254	2300	2.4352450370788574	1.2976781432390212	26.406155109405518	-1.4388367533683777	499.84805995225906	503.2571213245392	20.348770784677505	1.7	1.3	0.4272651823084649	0.8771072328090661	22.75934720956362	10.832192468372257	11.927154741191364	7.5073860037868645	0.4891818760581023	3	9.613207889551466	0.9815774565201149	nan	nan	Raw	0.8724490732875391	0.014500908901367938	0.19999999999999996	0.015486347985369277	True	True	1	1.4251856019480522	nan	nan
b04__roi_003	roi_003@x406_y217	roi_003	roi_003	1	4	Local standardization	405.575	216.977	2254	2300	0.8738312721252441	1.9255037049114703	20.01491117477417	-2.106698989868164	175.992032520473	186.5607585310936	10.394636537611735	0.7	0.8	0.04486830097905296	1.308684666241918	16.174893190367865	5.936220868135437	10.238672322232429	7.690391512686358	0.2943021561348584	10	5.2181237610057	0.9695303903871032	nan	nan	CS-Parzen ICA	0.7109611228537189	0.7579638569526983	-1.0	0.8584337625816103	True	True	1	1.4251856019480522	6.438968358040535	0.8082030709114421
b01__roi_003	roi_003@x406_y217	roi_003	roi_003	1	1	Raw	405.575	216.977	2003	2026	1012.0	80.0604	1159.0	438.0	19112.0	19112.0	14.4765701893261	0.3	2.0	0.6279386712094865	250.6071428571427	990.5384615384615	412.54545454545456	577.9930069930069	7.696201116648848	0.42986482411719906	13	342.4090909090909	0.9782267743402595	0.0	0.0		nan	nan	nan	nan	True	True	1	0.4256218979329065	nan	nan
b01__roi_003	roi_003@x406_y217	roi_003	roi_003	1	1	CS-Parzen ICA	405.575	216.977	2003	2026	1.8047168254852295	0.7977722200870514	18.84474492073059	-0.3072843551635742	263.12196016311646	263.42924451828003	23.621711088225883	0.5	1.3	0.4273738968249865	1.5707334152289796	15.121470396335308	5.432287117296999	9.689183279038309	7.461960592770258	0.5403966935937979	7	4.412790005857294	0.9683143057093587	nan	nan	Raw	0.9160113683663443	0.016259486557993384	0.2	0.01676349568557803	True	True	1	0.4256218979329065	nan	nan
b01__roi_003	roi_003@x406_y217	roi_003	roi_003	1	1	Local standardization	405.575	216.977	2003	2026	0.05550016090273857	1.2239211512558161	20.116599906235933	-0.8987754099071026	201.9754980802536	202.8742734901607	16.436189430306772	0.4	0.9	0.2035225890321801	2.3717185913452083	14.3441121019423	4.089240654142817	10.254871447799484	7.628610274599252	0.4053547669003182	22	3.27843179377669	0.9665796336635775	nan	nan	CS-Parzen ICA	0.8798789454808237	1.0674912284452691	-0.09999999999999998	1.0583834727253647	True	True	1	0.4256218979329065	2.040388770341301	0.802775632833691
b04__roi_001	roi_001@x425_y222	roi_001	roi_001	1	4	Raw	424.753	222.193	2254	2300	1095.0	38.547599999999996	1600.0	120.0	37115.0	37115.0	41.507123659021396	1.3	2.2	0.6116635546484601	-33.53571428571436	1255.7692307692307	604.9431818181819	650.8260489510488	7.776751527273189	1.3232525976536822	7	515.3522727272729	0.9883899537171281	0.0	0.0		nan	nan	nan	nan	True	True	2	1.4107650406782866	nan	nan
