model	repeated_group_splits	mean_log_loss	sd_log_loss	mean_brier	mean_roc_auc	min_roc_auc	max_roc_auc	mean_log_loss_improvement_vs_carrier
carrier	20	0.7102658633820209	0.031660749826859874	0.24111143365562512	0.5530585106382977	0.5035460992907801	0.62322695035461	0.0
carrier_plus_coherence	20	0.7031843313280227	0.03544490548185494	0.23681989830109768	0.5481826241134751	0.4867021276595745	0.6196808510638299	0.007081532053998196
carrier_plus_lag	20	0.6852129209055302	0.03298740958620814	0.22844618398144725	0.6083333333333336	0.549645390070922	0.6799645390070922	0.025052942476490703
compact_three	20	0.6914939120511073	0.036601617011899526	0.2306178433078872	0.5851063829787234	0.5203900709219857	0.6462765957446809	0.018771951330913583
role_specific_full	20	0.5363791401036518	0.04079361007857144	0.16392628684446	0.8194592198581561	0.7898936170212768	0.8484042553191489	0.17388672327836907
