held_burst	selected_kernel_id	training_site_weighted_auc	held_burst_site_weighted_auc	held_occurrences
1	rise1_decay20	0.9031073770556951	0.9047114105123087	24
2	rise1_decay20	0.8888207723467648	0.9485105875206111	23
3	rise1_decay20	0.8911146752004265	0.9215963677041521	26
4	rise1_decay20	0.9041182203262649	0.8871714983958582	33
